Time resolution is 1 ps
[64.00 ns] Correct Result! A=00000100(   4)	 B=11110001( -15)	 OP=SUB		 Result=00010011(  19)	 Golden=00010011(  19)
[80.00 ns] Correct Result! A=11110011( -13)	 B=00001101(  13)	 OP=SUB		 Result=11100110( -26)	 Golden=11100110( -26)
[96.00 ns] Correct Result! A=11110101( -11)	 B=11110010( -14)	 OP=SUB		 Result=00000011(   3)	 Golden=00000011(   3)
[112.00 ns] Correct Result! A=00001101(  13)	 B=00000110(   6)	 OP=SUB		 Result=00000111(   7)	 Golden=00000111(   7)
[128.00 ns] Correct Result! A=00001101(  13)	 B=00001100(  12)	 OP=SUB		 Result=00000001(   1)	 Golden=00000001(   1)
[144.00 ns] Correct Result! A=11110110( -10)	 B=11110101( -11)	 OP=MUL		 Result=01101110( 110)	 Golden=01101110( 110)
[160.00 ns] Correct Result! A=00000101(   5)	 B=11110111(  -9)	 OP=MUL		 Result=11010011( -45)	 Golden=11010011( -45)
[176.00 ns] Correct Result! A=00001111(  15)	 B=00000010(   2)	 OP=MUL		 Result=00011110(  30)	 Golden=00011110(  30)
[192.00 ns] Correct Result! A=11111000(  -8)	 B=11110101( -11)	 OP=ADD		 Result=11101101( -19)	 Golden=11101101( -19)
[208.00 ns] Correct Result! A=11111101(  -3)	 B=11111101(  -3)	 OP=SUB		 Result=00000000(   0)	 Golden=00000000(   0)
[224.00 ns] Correct Result! A=11110011( -13)	 B=00001010(  10)	 OP=ADD		 Result=11111101(  -3)	 Golden=11111101(  -3)
[240.00 ns] Correct Result! A=00000000(   0)	 B=00001010(  10)	 OP=SUB		 Result=11110110( -10)	 Golden=11110110( -10)
[256.00 ns] Correct Result! A=11110110( -10)	 B=11110011( -13)	 OP=SUB		 Result=00000011(   3)	 Golden=00000011(   3)
[272.00 ns] Correct Result! A=11110011( -13)	 B=00001011(  11)	 OP=SUB		 Result=11101000( -24)	 Golden=11101000( -24)
[288.00 ns] Correct Result! A=11110010( -14)	 B=11111110(  -2)	 OP=SUB		 Result=11110100( -12)	 Golden=11110100( -12)
[304.00 ns] Correct Result! A=11111111(  -1)	 B=00000011(   3)	 OP=MUL		 Result=11111101(  -3)	 Golden=11111101(  -3)
[320.00 ns] Correct Result! A=11111010(  -6)	 B=11111100(  -4)	 OP=MUL		 Result=00011000(  24)	 Golden=00011000(  24)
[336.00 ns] Correct Result! A=00001010(  10)	 B=00000001(   1)	 OP=ADD		 Result=00001011(  11)	 Golden=00001011(  11)
[352.00 ns] Correct Result! A=00001000(   8)	 B=11111001(  -7)	 OP=SQR		 Result=01000000(  64)	 Golden=01000000(  64)
[368.00 ns] Correct Result! A=00000110(   6)	 B=00000110(   6)	 OP=MUL		 Result=00100100(  36)	 Golden=00100100(  36)
[384.00 ns] Correct Result! A=11111100(  -4)	 B=00001010(  10)	 OP=SQR		 Result=00010000(  16)	 Golden=00010000(  16)
[400.00 ns] Correct Result! A=11110001( -15)	 B=00000101(   5)	 OP=SQR		 Result=11100001( -31)	 Golden=11100001( -31)
[416.00 ns] Correct Result! A=11111011(  -5)	 B=00001010(  10)	 OP=MUL		 Result=11001110( -50)	 Golden=11001110( -50)
[432.00 ns] Correct Result! A=00000101(   5)	 B=00000001(   1)	 OP=SUB		 Result=00000100(   4)	 Golden=00000100(   4)
[448.00 ns] Correct Result! A=00000010(   2)	 B=00001100(  12)	 OP=SQR		 Result=00000100(   4)	 Golden=00000100(   4)
[464.00 ns] Correct Result! A=00001111(  15)	 B=00001000(   8)	 OP=SQR		 Result=11100001( -31)	 Golden=11100001( -31)
[480.00 ns] Correct Result! A=11111111(  -1)	 B=11111100(  -4)	 OP=SQR		 Result=00000001(   1)	 Golden=00000001(   1)
[496.00 ns] Correct Result! A=00001001(   9)	 B=11111001(  -7)	 OP=ADD		 Result=00000010(   2)	 Golden=00000010(   2)
[512.00 ns] Correct Result! A=11110111(  -9)	 B=11110001( -15)	 OP=MUL		 Result=10000111(-121)	 Golden=10000111(-121)
[528.00 ns] Correct Result! A=00001100(  12)	 B=11110010( -14)	 OP=ADD		 Result=11111110(  -2)	 Golden=11111110(  -2)
[544.00 ns] Correct Result! A=11110111(  -9)	 B=00001101(  13)	 OP=MUL		 Result=10001011(-117)	 Golden=10001011(-117)
[560.00 ns] Correct Result! A=11111110(  -2)	 B=00001101(  13)	 OP=SUB		 Result=11110001( -15)	 Golden=11110001( -15)
[576.00 ns] Correct Result! A=00001111(  15)	 B=11110011( -13)	 OP=SUB		 Result=00011100(  28)	 Golden=00011100(  28)
[592.00 ns] Correct Result! A=11111000(  -8)	 B=00001011(  11)	 OP=SUB		 Result=11101101( -19)	 Golden=11101101( -19)
[608.00 ns] Correct Result! A=11111111(  -1)	 B=00001010(  10)	 OP=ADD		 Result=00001001(   9)	 Golden=00001001(   9)
[624.00 ns] Correct Result! A=11110110( -10)	 B=11111110(  -2)	 OP=ADD		 Result=11110100( -12)	 Golden=11110100( -12)
[640.00 ns] Correct Result! A=00001010(  10)	 B=11110110( -10)	 OP=SQR		 Result=01100100( 100)	 Golden=01100100( 100)
[656.00 ns] Correct Result! A=11110011( -13)	 B=11111111(  -1)	 OP=SQR		 Result=10101001( -87)	 Golden=10101001( -87)
[672.00 ns] Correct Result! A=11111111(  -1)	 B=00000100(   4)	 OP=SQR		 Result=00000001(   1)	 Golden=00000001(   1)
[688.00 ns] Correct Result! A=11111011(  -5)	 B=11110110( -10)	 OP=MUL		 Result=00110010(  50)	 Golden=00110010(  50)
[704.00 ns] Correct Result! A=00001001(   9)	 B=11111101(  -3)	 OP=MUL		 Result=11100101( -27)	 Golden=11100101( -27)
[720.00 ns] Correct Result! A=11110101( -11)	 B=11110101( -11)	 OP=SQR		 Result=01111001( 121)	 Golden=01111001( 121)
[736.00 ns] Correct Result! A=00001001(   9)	 B=00000100(   4)	 OP=ADD		 Result=00001101(  13)	 Golden=00001101(  13)
[752.00 ns] Correct Result! A=00001010(  10)	 B=00001011(  11)	 OP=MUL		 Result=01101110( 110)	 Golden=01101110( 110)
[768.00 ns] Correct Result! A=00001100(  12)	 B=11111010(  -6)	 OP=SUB		 Result=00010010(  18)	 Golden=00010010(  18)
[784.00 ns] Correct Result! A=11110011( -13)	 B=00000110(   6)	 OP=MUL		 Result=10110010( -78)	 Golden=10110010( -78)
[800.00 ns] Correct Result! A=11110111(  -9)	 B=11111010(  -6)	 OP=MUL		 Result=00110110(  54)	 Golden=00110110(  54)
[816.00 ns] Correct Result! A=11111000(  -8)	 B=00001001(   9)	 OP=ADD		 Result=00000001(   1)	 Golden=00000001(   1)
[832.00 ns] Correct Result! A=00000100(   4)	 B=00000011(   3)	 OP=ADD		 Result=00000111(   7)	 Golden=00000111(   7)
[848.00 ns] Correct Result! A=11111001(  -7)	 B=00001011(  11)	 OP=SUB		 Result=11101110( -18)	 Golden=11101110( -18)
[864.00 ns] Correct Result! A=00001001(   9)	 B=11111101(  -3)	 OP=MUL		 Result=11100101( -27)	 Golden=11100101( -27)
[880.00 ns] Correct Result! A=00001010(  10)	 B=00000110(   6)	 OP=SUB		 Result=00000100(   4)	 Golden=00000100(   4)
[896.00 ns] Correct Result! A=11110110( -10)	 B=00000100(   4)	 OP=SQR		 Result=01100100( 100)	 Golden=01100100( 100)
[912.00 ns] Correct Result! A=00001001(   9)	 B=11110100( -12)	 OP=ADD		 Result=11111101(  -3)	 Golden=11111101(  -3)
